Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
CML52/B73 NIL-1314,CML52,3,3,0,2,NC358/B73
CML52/B73 NIL-1317,CML52,2,2,0,1,NC358
CML52/B73 NIL-1319,CML52,1,1,0,1,NC358
CML52/B73 NIL-1321,CML52,4,1,0,2,CML52/Tzi8
CML52/B73 NIL-1322,CML52,2,0,1,1,CML52
CML52/B73 NIL-1327,CML52,1,1,0,1,Oh43
CML52/B73 NIL-1357,CML52,1,0,1,0,NA
CML69/B73 NIL-1002,CML69,2,0,0,1,CML69
CML69/B73 NIL-1005,CML69,1,1,0,1,Oh43
CML69/B73 NIL-1007,CML69,2,0,0,1,CML69
CML69/B73 NIL-1016,CML69,4,0,3,1,CML69
CML69/B73 NIL-1018,CML69,2,0,0,1,CML69
CML69/B73 NIL-1019,CML69,2,0,1,1,CML69
CML69/B73 NIL-1026,CML69,2,0,0,1,CML69
CML69/B73 NIL-1029,CML69,4,2,2,1,Ki11
CML69/B73 NIL-1038,CML69,1,0,0,1,CML69
CML69/B73 NIL-1042,CML69,1,0,0,1,CML69
CML69/B73 NIL-1050,CML69,1,0,0,1,CML69
CML69/B73 NIL-1063,CML69,1,0,0,1,CML69
CML69/B73 NIL-1065,CML69,3,0,0,1,CML69
CML69/B73 NIL-1066,CML69,2,0,0,1,CML69
CML69/B73 NIL-1068,CML69,1,0,1,0,NA
CML69/B73 NIL-1070,CML69,1,1,0,1,Ki3
CML69/B73 NIL-1073,CML69,2,1,1,1,Oh43
CML69/B73 NIL-1077,CML69,2,0,1,1,CML69
CML69/B73 NIL-1079,CML69,5,3,1,3,CML69/B73/Mo17
CML69/B73 NIL-1081,CML69,7,4,0,2,Mo17/CML69
CML69/B73 NIL-1090,CML69,2,0,1,1,CML69
CML69/B73 NIL-1091,CML69,2,0,0,1,CML69
CML69/B73 NIL-1094,CML69,1,0,1,0,NA
CML69/B73 NIL-1096,CML69,1,0,1,0,NA
CML69/B73 NIL-1116,CML69,3,0,0,1,CML69
CML69/B73 NIL-1117,CML69,2,0,0,1,CML69
CML69/B73 NIL-1122,CML69,1,0,0,1,CML69
CML69/B73 NIL-1135A,CML69,4,1,0,2,CML69/CML228
CML69/B73 NIL-1145,CML69,5,0,0,1,CML69
CML69/B73 NIL-1162,CML69,3,0,1,1,CML69
CML69/B73 NIL-1167,CML69,2,0,0,1,CML69
CML69/B73 NIL-1176,CML69,2,0,1,1,CML69
CML69/B73 NIL-1178,CML69,4,0,0,1,CML69
CML69/B73 NIL-1185,CML69,6,4,0,2,CML69/CML103
CML69/B73 NIL-1189,CML69,2,1,1,1,Oh43
CML69/B73 NIL-1194,CML69,2,0,0,1,CML69
CML69/B73 NIL-1199,CML69,1,0,0,1,CML69
CML69/B73 NIL-1206,CML69,1,0,0,1,CML69
CML69/B73 NIL-1214,CML69,2,0,1,1,CML69
CML69/B73 NIL-1219,CML69,1,0,0,1,CML69
CML69/B73 NIL-1221,CML69,2,0,0,1,CML69
CML69/B73 NIL-1227,CML69,1,0,0,1,CML69
CML69/B73 NIL-1232,CML69,1,1,0,1,NC358
CML69/B73 NIL-1237,CML69,1,0,0,1,CML69
CML69/B73 NIL-1239A,CML69,1,0,0,1,CML69
