Line,ped.donor,best.matches,all.intros.match.ped,N.blocks.unfiltered,Total.Intro.Sizes.Unfiltered,Total.Intro.Prop.Unfiltered,N.blocks.filtered,N.mismatch.blocks,N.NA.blocks,N.donor.matches
Ki11/B73 NIL-1117B,Ki11,Ki11,TRUE,5,26419053,0.0124618174528302,3,0,1,1
Ki11/B73 NIL-1123,Ki11,Mo17/Ki11,FALSE,4,146225747.5,0.0689744091981132,3,2,0,2
Ki11/B73 NIL-1125,Ki11,Ki11/Mo17,FALSE,7,58523461,0.0276054061320755,4,1,2,2
Ki11/B73 NIL-1128,Ki11,Mo17/Ki11/Oh43,FALSE,12,101816631.5,0.0480267129716981,10,5,3,3
Ki11/B73 NIL-1129A,Ki11,Ki11/Mo17/Oh43,FALSE,7,166700541,0.0786323306603774,7,4,2,3
Ki11/B73 NIL-1129B,Ki11,Ki11/Mo17/Oh43,FALSE,9,199567552.5,0.0941356379716981,9,4,3,3
Ki11/B73 NIL-1134,Ki11,Ki11,TRUE,1,20702670.5,0.00976541061320755,1,0,0,1
Ki11/B73 NIL-1147,Ki11,Ki11,TRUE,6,52474259,0.0247520089622641,3,0,0,1
Ki11/B73 NIL-1153,Ki11,Ki11,TRUE,5,138677944,0.0654141245283019,3,0,1,1
Ki11/B73 NIL-1161,Ki11,Ki11,TRUE,4,35667235.5,0.0168241676886792,2,0,0,1
Ki11/B73 NIL-1164,Ki11,Ki11,TRUE,2,15470657,0.00729747971698113,2,0,0,1
Ki11/B73 NIL-1165,Ki11,Ki11,TRUE,2,10731980,0.00506225471698113,1,0,0,1
Ki11/B73 NIL-1169,Ki11,Ki11/B73,FALSE,5,127377213.5,0.0600835912735849,4,1,0,2
Ki11/B73 NIL-1177,Ki11,Ki11,TRUE,3,9272536.5,0.00437383797169811,2,0,1,1
Ki11/B73 NIL-1180,Ki11,Ki11,TRUE,3,138568754.5,0.0653626200471698,3,0,0,1
Ki11/B73 NIL-1193,Ki11,Ki11,TRUE,4,21124993,0.00996461933962264,3,0,0,1
Ki11/B73 NIL-1212,Ki11,Ki11,TRUE,10,361484771.5,0.170511684669811,4,0,0,1
Ki11/B73 NIL-1228,Ki11,Ki11,TRUE,3,12995950,0.00613016509433962,1,0,0,1
Ki11/B73 NIL-1233,Ki11,Ki3,FALSE,3,89633045,0.0422797382075472,2,2,0,1
Ki3/B73 NIL-1007,Ki3,Ki3,TRUE,2,24710192.5,0.0116557511792453,2,0,1,1
Ki3/B73 NIL-1016,Ki3,Ki3,TRUE,3,18514885,0.00873343632075472,2,0,0,1
Ki3/B73 NIL-1024,Ki3,Ki11,FALSE,3,126398238,0.0596218103773585,2,2,0,1
Ki3/B73 NIL-1025,Ki3,Ki11,FALSE,2,9900029.5,0.00466982523584906,2,2,0,1
Ki3/B73 NIL-1028,Ki3,Ki3,TRUE,1,4387081,0.00206937783018868,1,0,0,1
Ki3/B73 NIL-1030,Ki3,Ki3,TRUE,3,11136351,0.00525299575471698,2,0,0,1
Ki3/B73 NIL-1034,Ki3,NA,FALSE,3,7249022,0.00341935,1,0,1,0
Ki3/B73 NIL-1043A,Ki3,Mo17/Ki3,FALSE,5,137397745.5,0.0648102573113208,2,1,0,2
Ki3/B73 NIL-1083,Ki3,Ki11,FALSE,2,4764259.5,0.00224729221698113,2,2,0,1
Ki3/B73 NIL-1107,Ki3,B73,FALSE,3,7239202,0.0034147179245283,2,1,1,1
Ki3/B73 NIL-1119,Ki3,Mo17,FALSE,5,44157110,0.0208288254716981,4,3,1,1
Ki3/B73 NIL-1123,Ki3,Mo17,FALSE,2,7745303,0.00365344481132075,1,1,0,1
Ki3/B73 NIL-1128,Ki3,Ki3,TRUE,2,7750904.5,0.00365608702830189,2,0,0,1
Ki3/B73 NIL-1144,Ki3,Ki3,TRUE,3,40581318.5,0.0191421313679245,3,0,0,1
Ki3/B73 NIL-1163,Ki3,Ki3,TRUE,2,15178361,0.00715960424528302,1,0,0,1
Ki3/B73 NIL-1185,Ki3,Mo17/Ki3,FALSE,6,94831010.5,0.0447316087264151,4,1,1,2
Ki3/B73 NIL-1186,Ki3,Mo17/Ki3,FALSE,4,56677991,0.0267349014150943,3,1,0,2
Ki3/B73 NIL-1191,Ki3,Ki3,TRUE,5,65145012,0.030728779245283,5,0,1,1
Ki3/B73 NIL-1194,Ki3,Ki3,TRUE,3,69813084,0.0329307,3,0,0,1
Ki3/B73 NIL-1199,Ki3,Ki3,TRUE,3,107487318,0.0507015650943396,3,0,0,1
Ki3/B73 NIL-1203,Ki3,Ki3,TRUE,3,18072140.5,0.0085245945754717,1,0,0,1
Ki3/B73 NIL-1215,Ki3,Ki3/Mo17,FALSE,6,131103050,0.0618410613207547,4,2,0,2
Ki3/B73 NIL-1219,Ki3,Ki3,TRUE,2,80882363,0.0381520580188679,2,0,0,1
Ki3/B73 NIL-1221,Ki3,Ki3,TRUE,1,6192597,0.00292103632075472,1,0,0,1
