,Line,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches
264,CML52/B73 NIL-1236,1,0,1,0
265,CML52/B73 NIL-1292,1,0,0,1
266,CML52/B73 NIL-1294,1,0,0,1
267,CML52/B73 NIL-1322,2,0,1,1
268,CML52/B73 NIL-1357,1,0,1,0
269,CML69/B73 NIL-1002,2,0,0,1
270,CML69/B73 NIL-1007,2,0,0,1
271,CML69/B73 NIL-1016,4,0,3,1
272,CML69/B73 NIL-1018,2,0,0,1
273,CML69/B73 NIL-1019,2,0,1,1
274,CML69/B73 NIL-1026,2,0,0,1
275,CML69/B73 NIL-1038,1,0,0,1
276,CML69/B73 NIL-1042,1,0,0,1
277,CML69/B73 NIL-1050,1,0,0,1
278,CML69/B73 NIL-1063,1,0,0,1
279,CML69/B73 NIL-1065,3,0,0,1
280,CML69/B73 NIL-1066,2,0,0,1
281,CML69/B73 NIL-1068,1,0,1,0
282,CML69/B73 NIL-1077,2,0,1,1
283,CML69/B73 NIL-1090,2,0,1,1
284,CML69/B73 NIL-1091,2,0,0,1
285,CML69/B73 NIL-1094,1,0,1,0
286,CML69/B73 NIL-1096,1,0,1,0
287,CML69/B73 NIL-1116,3,0,0,1
288,CML69/B73 NIL-1117,2,0,0,1
289,CML69/B73 NIL-1122,1,0,0,1
290,CML69/B73 NIL-1145,5,0,0,1
291,CML69/B73 NIL-1162,3,0,1,1
292,CML69/B73 NIL-1167,2,0,0,1
293,CML69/B73 NIL-1176,2,0,1,1
294,CML69/B73 NIL-1178,4,0,0,1
295,CML69/B73 NIL-1194,2,0,0,1
296,CML69/B73 NIL-1199,1,0,0,1
297,CML69/B73 NIL-1206,1,0,0,1
298,CML69/B73 NIL-1214,2,0,1,1
299,CML69/B73 NIL-1219,1,0,0,1
300,CML69/B73 NIL-1221,2,0,0,1
301,CML69/B73 NIL-1227,1,0,0,1
302,CML69/B73 NIL-1237,1,0,0,1
303,CML69/B73 NIL-1239A,1,0,0,1
304,CML69/B73 NIL-1239B,1,0,0,1
305,Ki11/B73 NIL-1001,1,0,0,1
306,Ki11/B73 NIL-1006,4,0,0,1
307,Ki11/B73 NIL-1015,4,0,0,1
308,Ki11/B73 NIL-1018,1,0,0,1
309,Ki11/B73 NIL-1032,3,0,0,1
310,Ki11/B73 NIL-1039A,1,0,0,1
311,Ki11/B73 NIL-1039B,1,0,0,1
312,Ki11/B73 NIL-1046,1,0,0,1
313,Ki11/B73 NIL-1054,1,0,0,1
314,Ki11/B73 NIL-1059,5,0,1,1
315,Ki11/B73 NIL-1062A,1,0,0,1
316,Ki11/B73 NIL-1063,3,0,0,1
317,Ki11/B73 NIL-1066,4,0,0,1
318,Ki11/B73 NIL-1080,2,0,0,1
319,Ki11/B73 NIL-1081,1,0,0,1
320,Ki11/B73 NIL-1086,2,0,0,1
321,Ki11/B73 NIL-1090,2,0,1,1
322,Ki11/B73 NIL-1097A,2,0,0,1
323,Ki11/B73 NIL-1097B,2,0,0,1
324,Ki11/B73 NIL-1104,1,0,0,1
325,Ki11/B73 NIL-1106,3,0,0,1
326,Ki11/B73 NIL-1112,1,0,0,1
327,Ki11/B73 NIL-1115,2,0,0,1
328,Ki11/B73 NIL-1117A,3,0,0,1
329,Ki11/B73 NIL-1117B,3,0,1,1
330,Ki11/B73 NIL-1134,1,0,0,1
331,Ki11/B73 NIL-1147,3,0,0,1
332,Ki11/B73 NIL-1153,3,0,1,1
333,Ki11/B73 NIL-1161,2,0,0,1
334,Ki11/B73 NIL-1164,2,0,0,1
335,Ki11/B73 NIL-1165,1,0,0,1
336,Ki11/B73 NIL-1177,2,0,1,1
337,Ki11/B73 NIL-1180,3,0,0,1
338,Ki11/B73 NIL-1193,3,0,0,1
339,Ki11/B73 NIL-1212,4,0,0,1
340,Ki11/B73 NIL-1228,1,0,0,1
341,Ki3/B73 NIL-1007,2,0,1,1
342,Ki3/B73 NIL-1016,2,0,0,1
343,Ki3/B73 NIL-1028,1,0,0,1
344,Ki3/B73 NIL-1030,2,0,0,1
345,Ki3/B73 NIL-1034,1,0,1,0
346,Ki3/B73 NIL-1128,2,0,0,1
347,Ki3/B73 NIL-1144,3,0,0,1
348,Ki3/B73 NIL-1163,1,0,0,1
349,Ki3/B73 NIL-1191,5,0,1,1
350,Ki3/B73 NIL-1194,3,0,0,1
351,Ki3/B73 NIL-1199,3,0,0,1
352,Ki3/B73 NIL-1203,1,0,0,1
353,Ki3/B73 NIL-1219,2,0,0,1
354,Ki3/B73 NIL-1221,1,0,0,1
355,Ki3/B73 NIL-1237,2,0,0,1
356,M162W/B73 NIL-1005,2,0,0,1
357,M162W/B73 NIL-1013,2,0,0,1
358,M162W/B73 NIL-1018,2,0,0,1
359,M162W/B73 NIL-1044,2,0,0,1
360,M162W/B73 NIL-1050,3,0,0,1
361,M162W/B73 NIL-1056,2,0,0,1
362,M162W/B73 NIL-1058,3,0,0,1
363,M162W/B73 NIL-1089,2,0,0,1
364,M162W/B73 NIL-1105,2,0,0,1
365,M162W/B73 NIL-1120,3,0,0,1
366,M162W/B73 NIL-1136,2,0,0,1
367,M162W/B73 NIL-1160,2,0,0,1
368,M162W/B73 NIL-1201,2,0,0,1
369,M162W/B73 NIL-1207,2,0,0,1
370,M162W/B73 NIL-1232,2,0,0,1
371,M162W/B73 NIL-1233,3,0,0,1
372,M162W/B73 NIL-1247,2,0,0,1
373,M162W/B73 NIL-1254,2,0,0,1
374,Mo17/B73 NIL-1015,1,0,0,1
375,Mo17/B73 NIL-1035,1,0,0,1
376,Mo17/B73 NIL-1076,1,0,0,1
377,Mo17/B73 NIL-1114,2,0,0,1
378,Mo17/B73 NIL-1163,3,0,0,1
379,Mo17/B73 NIL-1209,2,0,1,1
380,Mo17/B73 NIL-1213,1,0,0,1
381,Mo17/B73 NIL-1214,1,0,0,1
382,Mo17/B73 NIL-1215,3,0,0,1
383,Mo17/B73 NIL-1217,1,0,0,1
384,Mo17/B73 NIL-1218,1,0,0,1
385,Mo17/B73 NIL-1231,1,0,0,1
386,Mo17/B73 NIL-1243,2,0,0,1
387,Mo17/B73 NIL-1244,1,0,0,1
388,Mo17/B73 NIL-1250,3,0,0,1
389,Mo17/B73 NIL-1251A,1,0,0,1
390,Mo17/B73 NIL-1251B,1,0,0,1
391,Mo17/B73 NIL-1265,2,0,1,1
392,Mo17/B73 NIL-1266,2,0,0,1
393,Mo17/B73 NIL-1270,3,0,0,1
394,Mo17/B73 NIL-1288,2,0,0,1
395,Mo17/B73 NIL-1291,1,0,1,0
396,Mo17/B73 NIL-1307,3,0,0,1
397,Mo18W/B73 NIL-1001,3,0,0,1
398,Mo18W/B73 NIL-1003,1,0,0,1
399,Mo18W/B73 NIL-1004,1,0,0,1
400,Mo18W/B73 NIL-1005,1,0,0,1
401,Mo18W/B73 NIL-1008,1,0,0,1
402,Mo18W/B73 NIL-1011,2,0,0,1
403,Mo18W/B73 NIL-1012,2,0,0,1
404,Mo18W/B73 NIL-1013A,2,0,0,1
405,Mo18W/B73 NIL-1015,1,0,0,1
406,Mo18W/B73 NIL-1016A,3,0,0,1
407,Mo18W/B73 NIL-1016B,2,0,0,1
408,Mo18W/B73 NIL-1017B,1,0,0,1
409,Mo18W/B73 NIL-1018,2,0,0,1
410,Mo18W/B73 NIL-1020A,2,0,0,1
411,Mo18W/B73 NIL-1020B,3,0,1,1
412,Mo18W/B73 NIL-1023,2,0,0,1
413,Mo18W/B73 NIL-1024,2,0,0,1
414,Mo18W/B73 NIL-1028A,2,0,0,1
415,Mo18W/B73 NIL-1029,2,0,0,1
416,Mo18W/B73 NIL-1031,1,0,0,1
417,Mo18W/B73 NIL-1033,2,0,1,1
418,Mo18W/B73 NIL-1035,1,0,0,1
419,Mo18W/B73 NIL-1037,1,0,0,1
420,Mo18W/B73 NIL-1045,3,0,0,1
421,Mo18W/B73 NIL-1053,2,0,0,1
422,Mo18W/B73 NIL-1054,2,0,0,1
423,Mo18W/B73 NIL-1058A,4,0,0,1
424,Mo18W/B73 NIL-1058B,3,0,0,1
425,Mo18W/B73 NIL-1067,2,0,0,1
426,Mo18W/B73 NIL-1074,1,0,0,1
427,Mo18W/B73 NIL-1078,1,0,0,1
428,Mo18W/B73 NIL-1081,3,0,1,1
429,Mo18W/B73 NIL-1085,2,0,0,1
430,Mo18W/B73 NIL-1089A,2,0,0,1
431,Mo18W/B73 NIL-1089B,2,0,0,1
432,Mo18W/B73 NIL-1092,1,0,0,1
433,Mo18W/B73 NIL-1093,1,0,0,1
434,Mo18W/B73 NIL-1095,2,0,0,1
435,Mo18W/B73 NIL-1096,2,0,0,1
436,Mo18W/B73 NIL-1104A,1,0,0,1
437,Mo18W/B73 NIL-1104B,1,0,0,1
438,Mo18W/B73 NIL-1108,2,0,0,1
