Method,nir,germ,gert,p,r,B73hetMean,DonorhetMean,NILhetMean,B73homozIntroMean,DonorhomozIntroMean,NILhomozIntroMean,PercNILsNoIntro
Chip,0.001,0.001,0.001,0.5,0.0016053941242575051,0.0,0.006577656481332833,0.0020284027347761495,0.0,0.4948337525195769,0.024259288988780076,0.0
Chip,0.001,0.001,0.001,0.5,0.0032107882485150102,0.0,0.0064951570610584895,0.0019022646250130598,0.0,0.46036237312926986,0.022592736993122288,0.0
Chip,0.001,0.001,0.001,0.75,0.0008026970621287526,0.0,0.004778277233727546,0.0018474773652169703,0.0,0.49578361070976257,0.024284771435196865,0.0
Chip,0.001,0.001,0.001,0.75,0.0016053941242575051,0.0,0.006171848522145519,0.0020092908999635602,0.0,0.49549374788177164,0.02428731967983854,0.0
Chip,0.001,0.001,0.001,0.75,0.0032107882485150102,0.0,0.006363603931431833,0.0019022646250130598,0.0,0.4621327660940761,0.022670458454693485,0.0
Chip,0.001,0.001,0.001,0.9,0.0008026970621287526,0.0,0.005170706908546048,0.0018602185884253628,0.0,0.5016410695492409,0.024568900712744028,0.0
Chip,0.001,0.001,0.001,0.9,0.0016053941242575051,0.0,0.0061205650987317395,0.0020054685330010424,0.0,0.4687906922816218,0.022964780710807358,0.0
Chip,0.001,0.001,0.001,0.9,0.0032107882485150102,0.0,0.006285563939280428,0.0018946198910880236,0.0,0.4683982626068033,0.02295076536527813,0.0
Chip,0.001,0.001,0.01,0.1,0.0008026970621287526,0.0,0.012035996503808351,0.0023762381283652756,0.0,0.4580077950803589,0.02241181162356311,0.0
Chip,0.001,0.001,0.01,0.1,0.0016053941242575051,0.0,0.013409500365673106,0.002431025388161365,0.0,0.48853258058186616,0.02399809391300803,0.0
Chip,0.001,0.001,0.01,0.1,0.0032107882485150102,0.0,0.013610174631205294,0.002450137222973954,0.0,0.4546810617006474,0.02233791252895443,0.0
Chip,0.001,0.001,0.01,0.25,0.0008026970621287526,0.0,0.009964592140703875,0.002251374140923025,0.0,0.4736157935106402,0.023232346398183612,0.0
Chip,0.001,0.001,0.01,0.25,0.0016053941242575051,0.0,0.010374859528014127,0.002273034220377293,0.0,0.49120377802750576,0.024128054389733634,0.0
Chip,0.001,0.001,0.01,0.25,0.0032107882485150102,0.0,0.011741674247694475,0.002340562703381775,0.0,0.45585389129698006,0.02240416688963807,0.0
Chip,0.001,0.001,0.01,0.5,0.0008026970621287526,0.0,0.00872041169440431,0.0021481702329350424,0.0,0.49295633327982014,0.02421979119683406,0.0
Chip,0.001,0.001,0.01,0.5,0.0016053941242575051,0.0,0.009012504236456716,0.002167282067747632,0.0,0.49252822818001823,0.024204501728983988,0.0
Chip,0.001,0.001,0.01,0.5,0.0032107882485150102,0.0,0.009063787659870497,0.0021379772543683286,0.0,0.4582642121974278,0.02251501553155109,0.0
Chip,0.001,0.001,0.01,0.75,0.0008026970621287526,0.0,0.007779472360464494,0.002069174649043007,0.0,0.49367876063573607,0.024228710053079937,0.0
Chip,0.001,0.001,0.01,0.75,0.0016053941242575051,0.0,0.008506359144503308,0.0021481702329350424,0.0,0.4931882235422129,0.02421851707451322,0.0
Chip,0.001,0.001,0.01,0.75,0.0032107882485150102,0.0,0.008736019692834591,0.0021379772543683286,0.0,0.46023304971370466,0.022588914626159768,0.0
Chip,0.001,0.001,0.01,0.9,0.0008026970621287526,0.0,0.007531974099641462,0.0020755452606472033,0.0,0.4997079074579476,0.024507742841343744,0.0
Chip,0.001,0.001,0.01,0.9,0.0016053941242575051,0.0,0.008403792297675747,0.00215199259989756,0.0,0.4668798273309431,0.022888333371557,0.0
Chip,0.001,0.001,0.01,0.9,0.0032107882485150102,0.0,0.00870034426785109,0.002131606642764132,0.0,0.4669489484668487,0.022888333371557,0.0
Chip,0.001,0.01,0.0001,0.1,0.0008026970621287526,0.0,0.003703555056099606,0.001765933536683256,0.0,0.43100149836784923,0.02075927497343455,0.0
Chip,0.001,0.01,0.0001,0.1,0.0016053941242575051,0.0,0.005188544621037798,0.0019557777624883096,0.0,0.4465314568059792,0.021931467508606698,0.0
Chip,0.001,0.01,0.0001,0.1,0.0032107882485150102,0.0,0.005335705749094736,0.0018538479768211663,0.0,0.4454834911970889,0.021879228493452287,0.0
Chip,0.001,0.01,0.0001,0.25,0.0008026970621287526,0.0,0.00290531742209379,0.0014410323448692368,0.0,0.45099534435703975,0.021880502615773123,0.0
Chip,0.001,0.01,0.0001,0.25,0.0016053941242575051,0.0,0.0030836945470112914,0.0014028086752440581,0.0,0.4467321310715114,0.021931467508606698,0.0
Chip,0.001,0.01,0.0001,0.25,0.0032107882485150102,0.0,0.0032420042453755733,0.0013900674520356652,0.0,0.44660057794188474,0.021934015753248375,0.0
Chip,0.001,0.01,0.0001,0.5,0.0008026970621287526,0.0,0.00235011862078807,0.0013199907243895044,0.0,0.44795401437719623,0.021974787667515233,0.0
Chip,0.001,0.01,0.0001,0.5,0.0016053941242575051,0.0,0.002405861472324789,0.0013467472931271293,0.0,0.4476708406913897,0.021965868811269357,0.0
Chip,0.001,0.01,0.0001,0.5,0.0032107882485150102,0.0,0.0028406557143111967,0.001367133250260558,0.0,0.44726503273220236,0.021956949955023484,0.0
