nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.001,0.001,0.001,0.9,0.0009354391107092187,0.0001250809347224675,0.0017005488845723705,0.007799164165047973,0.015552974436527858,0.0015675101209314893,0.0
0.001,0.001,0.01,0.1,0.00023385977767730469,0.0001361174877862146,0.0017977318657170325,0.007707192889516747,0.013001304417871043,0.0021969826891795677,0.0
0.001,0.001,0.01,0.1,0.00046771955535460937,0.0001361174877862146,0.0017928267310220339,0.00773294484666549,0.013202034060377399,0.002208026067569885,0.0
0.001,0.001,0.01,0.1,0.0009354391107092187,0.00012875978574371653,0.0017601769282084487,0.007755017952792984,0.014180997074154336,0.0021865889212827985,0.0
0.001,0.001,0.01,0.25,0.00023385977767730469,0.0001361174877862146,0.0017889945945415663,0.007703514038495497,0.013059769362290368,0.001853988348586188,0.0
0.001,0.001,0.01,0.25,0.00046771955535460937,0.0001361174877862146,0.0017848558871426609,0.0077476602507504854,0.013509299823825635,0.002141765797227982,0.0
0.001,0.001,0.01,0.25,0.0009354391107092187,0.00012875978574371653,0.0017601769282084487,0.0077513391017717355,0.014189442010570463,0.002115131766992511,0.0
0.001,0.001,0.01,0.5,0.00023385977767730469,0.0001361174877862146,0.0017782646123962562,0.007758696803814233,0.013535933854061105,0.0017188693659281895,0.0
0.001,0.001,0.01,0.5,0.00046771955535460937,0.00012875978574371653,0.0017531257970843882,0.007762375654835482,0.014214776819818836,0.0017740862578797757,0.0
0.001,0.001,0.01,0.5,0.0009354391107092187,0.0001250809347224675,0.0017131182922283045,0.007813879569132967,0.015374331550802138,0.0020871985157699443,0.0
0.001,0.001,0.01,0.75,0.00023385977767730469,0.00012875978574371653,0.0017529725116251693,0.007758696803814233,0.01423361552413173,0.001674695852366921,0.0
0.001,0.001,0.01,0.75,0.00046771955535460937,0.0001250809347224675,0.0017065270174819,0.007821237271175467,0.015384075708205361,0.0017558971640604295,0.0
0.001,0.001,0.01,0.75,0.0009354391107092187,0.0001250809347224675,0.0017062204465634623,0.007810200718111719,0.015379528434750524,0.0017513498906055929,0.0
0.001,0.001,0.01,0.9,0.00023385977767730469,0.0001250809347224675,0.0017037678792159634,0.007828594973217964,0.01546852507236661,0.0017013298826023913,0.0
0.001,0.001,0.01,0.9,0.00046771955535460937,0.0001250809347224675,0.0017034613082975256,0.007828594973217964,0.015513997806914976,0.0017000306616152955,0.0
0.001,0.001,0.01,0.9,0.0009354391107092187,0.0001250809347224675,0.0017030014519198696,0.007810200718111719,0.01547177312483435,0.0017578459955410735,0.0
0.001,0.01,0.0001,0.1,0.00023385977767730469,0.0001434751898287127,0.0018374327996546786,0.007549002295603038,0.011351943374752498,0.0013089651444993583,0.0
0.001,0.01,0.0001,0.1,0.00046771955535460937,0.0001434751898287127,0.0018381992269507722,0.007549002295603038,0.011346746490804112,0.0013050674815380699,0.0
0.001,0.01,0.0001,0.1,0.0009354391107092187,0.0001434751898287127,0.0018273159593462437,0.007560038848666784,0.011662457190668475,0.0013291030697993483,0.0
0.001,0.01,0.0001,0.25,0.00023385977767730469,0.0001434751898287127,0.0018343670904703046,0.0075195714874330445,0.01138832156239119,0.0010965425131091399,0.0
0.001,0.01,0.0001,0.25,0.00046771955535460937,0.0001434751898287127,0.00183605323052171,0.007526929189475544,0.01136168753215572,0.0011426648581510527,0.0
0.001,0.01,0.0001,0.25,0.0009354391107092187,0.00013243863676496557,0.0017664616320364158,0.007629937018070516,0.013401464481896655,0.0011602043414768507,0.0
0.001,0.01,0.0001,0.5,0.00023385977767730469,0.0001434751898287127,0.0018279291011831188,0.007508534934369298,0.01146237715865567,0.0007704380453480093,0.0
0.001,0.01,0.0001,0.5,0.00046771955535460937,0.0001361174877862146,0.0017866953126532855,0.007600506209900524,0.01282461036362597,0.0007847294762060668,0.0
0.001,0.01,0.0001,0.5,0.0009354391107092187,0.0001361174877862146,0.001785469028979536,0.00761890046500677,0.013038332216003284,0.001061463546457544,0.0
0.001,0.01,0.0001,0.75,0.00023385977767730469,0.00013243863676496557,0.0017589506445346988,0.0076152216139855206,0.013472921636186942,0.0007087250484609427,0.0
