Line,putative.donor,max.match,founder.match,min.others,mean.others,max.others,sd.others,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8
CML103/B73 NIL-1079B,CML103,0.833590138674884,CML103,0.625479662317728,0.667447840871421,0.759832635983264,0.0297556557964054,0.68885564697083,0.833590138674884,0.660828025477707,0.672209026128266,0.691581431943352,0.634974533106961,0.671052631578947,0.672012830793905,0.672712933753943,0.66953125,0.668970814132104,0.625479662317728,0.64340490797546,0.65609756097561,0.641390205371248,0.63709032773781,0.665902140672783,0.682134570765661,0.759832635983264
CML103/B73 NIL-1079C,CML103,0.809378185524975,CML103,0.643877551020408,0.677518199306377,0.763919821826281,0.0290369976016318,0.656312625250501,0.809378185524975,0.664887940234792,0.69385593220339,0.673575129533679,0.659887005649717,0.697125256673511,0.687299893276414,0.673618352450469,0.671891327063741,0.677914110429448,0.648318042813456,0.643877551020408,0.707608695652174,0.652631578947368,0.649104320337197,0.66869918699187,0.704800817160368,0.763919821826281
CML103/B73 NIL-1079D,CML103,0.803973509933775,Uncertain,0.635883905013193,0.683195918473667,0.772334293948127,0.0314553662899933,0.737926593689633,0.803973509933775,0.680792891319207,0.692202462380301,0.689655172413793,0.660322108345534,0.700797872340426,0.674723756906077,0.667576791808874,0.67627345844504,0.675711449371277,0.635883905013193,0.663136995367306,0.685159500693481,0.66078697421981,0.649386084583902,0.678145695364238,0.696710526315789,0.772334293948127
CML103/B73 NIL-1081A,CML103,0.873463485177151,CML103,0.624,0.674329939441697,0.734562951082598,0.0237183234897751,0.663345195729537,0.873463485177151,0.669932177844763,0.680866965620329,0.682799702159345,0.665341812400636,0.68814055636896,0.685692541856925,0.663690476190476,0.687546057479735,0.685589519650655,0.646589259796807,0.624,0.669446550416983,0.654163540885221,0.653092006033183,0.684971098265896,0.698168498168498,0.734562951082598
CML103/B73 NIL-1081B,CML103,0.879111842105263,CML103,0.63877381938691,0.676156825945172,0.735590118938701,0.0230630404662391,0.693993506493506,0.879111842105263,0.664395229982964,0.679727427597956,0.686868686868687,0.656335460346399,0.697171381031614,0.692307692307692,0.661357921207041,0.673657718120805,0.674649050371594,0.65257048092869,0.63877381938691,0.65832614322692,0.653617021276596,0.666952789699571,0.681780708985985,0.702747710241465,0.735590118938701
CML103/B73 NIL-1084,CML103,0.805970149253731,Tzi8,0.628571428571429,0.672460018417393,0.735015772870662,0.034326251400653,0.735015772870662,0.731481481481482,0.694006309148265,0.671009771986971,0.731481481481482,0.689895470383275,0.648562300319489,0.674657534246575,0.67524115755627,0.634674922600619,0.628571428571429,0.64375,0.636075949367089,0.641935483870968,0.669871794871795,0.669871794871795,0.639498432601881,0.688679245283019,0.805970149253731
CML103/B73 NIL-1088,CML103,0.852534562211982,Tzi8,0.647540983606557,0.696424617369825,0.767716535433071,0.0298517110082216,0.696356275303644,0.767716535433071,0.714285714285714,0.659836065573771,0.711462450592885,0.71551724137931,0.711934156378601,0.721973094170404,0.682008368200837,0.670588235294118,0.647540983606557,0.708,0.685258964143426,0.65843621399177,0.697959183673469,0.691358024691358,0.666666666666667,0.728744939271255,0.852534562211982
CML103/B73 NIL-1093,CML103,0.996732026143791,CML103,0.637873754152824,0.71117122017674,0.781879194630873,0.0398025888921103,0.666666666666667,0.996732026143791,0.682274247491639,0.751748251748252,0.652027027027027,0.743396226415094,0.691029900332226,0.781879194630873,0.719298245614035,0.740740740740741,0.708609271523179,0.703448275862069,0.667774086378738,0.726618705035971,0.744186046511628,0.741610738255034,0.690789473684211,0.637873754152824,0.751111111111111
CML103/B73 NIL-1094,CML103,0.879338842975207,Uncertain,0.65993265993266,0.710692193205567,0.87519747235387,0.046384002996697,0.87519747235387,0.879338842975207,0.702564102564103,0.692436974789916,0.680921052631579,0.704854368932039,0.687908496732026,0.703435804701627,0.691803278688525,0.725806451612903,0.65993265993266,0.693944353518822,0.691803278688525,0.680555555555556,0.715265866209262,0.701543739279588,0.69344262295082,0.752079866888519,0.738963531669866
CML103/B73 NIL-1098,CML103,0.948362720403023,Tzi8,0.662751677852349,0.697520827962756,0.734357224118316,0.0185187789751893,0.689540675152186,0.699095022624434,0.692663200462161,0.707288629737609,0.709677419354839,0.683686176836862,0.718140068886338,0.702622169249106,0.703724928366762,0.70440251572327,0.734357224118316,0.70440251572327,0.665727170236753,0.696344339622642,0.683056872037915,0.720511330621732,0.662751677852349,0.677382966723068,0.948362720403023
