bgi_id	nil_id
BGI-03-A07	CML333/B73 NIL-1046
BGI08_2d	CML333/B73 NIL-1047
BGI-03-B07	CML333/B73 NIL-1048
BGI-03-C07	CML333/B73 NIL-1052
BGI-03-D07	CML333/B73 NIL-1055
BGI-03-E07	CML333/B73 NIL-1061
BGI-03-F07	CML333/B73 NIL-1075
BGI-03-G07	CML333/B73 NIL-1077
BGI-03-H07	CML333/B73 NIL-1081
BGI-03-A08	CML333/B73 NIL-1087
BGI-03-B08	CML333/B73 NIL-1089
BGI-03-C08	CML333/B73 NIL-1092
BGI-03-D08	CML333/B73 NIL-1104
BGI-03-E08	CML333/B73 NIL-1107
BGI-03-F08	CML333/B73 NIL-1108
BGI-03-G08	CML333/B73 NIL-1109A
BGI12_03a	CML333/B73 NIL-1109B
BGI-03-H08	CML333/B73 NIL-1111
BGI-03-A09	CML333/B73 NIL-1112A
BGI10_11g	CML333/B73 NIL-1116
BGI-03-B09	CML333/B73 NIL-1119A
BGI-03-C09	CML333/B73 NIL-1119B
BGI10_07e	CML333/B73 NIL-1122
BGI08_2e	CML333/B73 NIL-1124
BGI-03-D09	CML333/B73 NIL-1127
BGI-03-E09	CML333/B73 NIL-1131
BGI-03-F09	CML333/B73 NIL-1136
BGI-03-G09	CML333/B73 NIL-1143
BGI-03-H09	CML333/B73 NIL-1145
BGI-03-A10	CML333/B73 NIL-1156
BGI-03-B10	CML333/B73 NIL-1170
BGI12_03b	CML333/B73 NIL-1174
BGI-03-C10	CML333/B73 NIL-1182
BGI-03-D10	CML333/B73 NIL-1183
BGI-03-E10	CML333/B73 NIL-1185
BGI-03-F10	CML333/B73 NIL-1188A
BGI12_03c	CML333/B73 NIL-1193
BGI10_07g	CML333/B73 NIL-1199
BGI-03-G10	CML333/B73 NIL-1201
BGI-03-H10	CML333/B73 NIL-1202B
BGI-03-A11	CML333/B73 NIL-1209
BGI-03-B11	CML333/B73 NIL-1217A
BGI-03-C11	CML333/B73 NIL-1217B
BGI-03-D11	CML333/B73 NIL-1220
BGI12_03d	CML333/B73 NIL-1228
BGI-03-E11	CML333/B73 NIL-1230
BGI-03-F11	CML333/B73 NIL-1232
BGI-03-G11	CML333/B73 NIL-1234
BGI12_03e	CML333/B73 NIL-1243
BGI08_2g	CML333/B73 NIL-1253
BGI-03-H11	CML333/B73 NIL-1260
BGI-03-A12	CML333/B73 NIL-1263
BGI08_2h	CML333/B73 NIL-1269
BGI-03-B12	CML333/B73 NIL-1270
BGI08_3a	CML333/B73 NIL-1275
BGI-03-C12	CML333/B73 NIL-1276
BGI-03-D12	CML333/B73 NIL-1279
BGI08_3b	CML333/B73 NIL-1281
BGI-03-E12	CML333/B73 NIL-1290
BGI-03-F12	CML333/B73 NIL-1293
BGI-03-G12	CML333/B73 NIL-1296
BGI-03-H12	CML333/B73 NIL-1307
BGI4-A01	CML333/B73 NIL-1312
BGI10_11h	CML333/B73 NIL-1319
BGI4-B01	CML333/B73 NIL-1253
BGI4-C01	CML52/B73 NIL-1003
BGI08_3c	CML52/B73 NIL-1007
BGI4-D01	CML52/B73 NIL-1010A
BGI4-E01	CML52/B73 NIL-1010B
BGI08_3d	CML52/B73 NIL-1011
BGI4-F01	CML52/B73 NIL-1015A
BGI08_3e	CML52/B73 NIL-1015C
BGI4-G01	CML52/B73 NIL-1020
BGI4-H01	CML52/B73 NIL-1024
BGI05_1a	CML52/B73 NIL-1035
BGI4-A02	CML52/B73 NIL-1043
BGI10_12a	CML52/B73 NIL-1060
BGI4-D02	CML52/B73 NIL-1063
BGI4-E02	CML52/B73 NIL-1065
BGI08_3g	CML52/B73 NIL-1069
