,Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
244,CML322/B73 NIL-1218,CML322,1,0,0,1,CML322
245,CML322/B73 NIL-1222,CML322,2,0,0,1,CML322
246,CML322/B73 NIL-1224,CML322,1,0,0,1,CML322
247,CML322/B73 NIL-1225,CML322,1,0,0,1,CML322
248,CML322/B73 NIL-1229,CML322,2,2,0,1,CML333
249,CML322/B73 NIL-1234,CML322,1,0,0,1,CML322
250,CML322/B73 NIL-1242,CML322,1,0,0,1,CML322
251,CML322/B73 NIL-1245,CML322,2,0,0,1,CML322
252,CML322/B73 NIL-1251,CML322,3,0,0,1,CML322
253,CML322/B73 NIL-1254,CML322,3,0,2,1,CML322
254,CML322/B73 NIL-1255,CML322,2,0,1,1,CML322
255,CML333/B73 NIL-1003,CML333,2,0,2,0,NA
256,CML333/B73 NIL-1008,CML333,2,0,0,1,CML333
257,CML333/B73 NIL-1009,CML333,1,0,0,1,CML333
258,CML333/B73 NIL-1013,CML333,2,0,0,1,CML333
259,CML333/B73 NIL-1014,CML333,2,0,0,1,CML333
260,CML333/B73 NIL-1015,CML333,1,0,0,1,CML333
261,CML333/B73 NIL-1031,CML333,2,1,0,2,CML333/Ki11
262,CML333/B73 NIL-1032,CML333,1,0,0,1,CML333
263,CML333/B73 NIL-1034,CML333,2,0,0,1,CML333
264,CML333/B73 NIL-1036,CML333,2,0,0,1,CML333
265,CML333/B73 NIL-1046,CML333,1,0,1,0,NA
266,CML333/B73 NIL-1047,CML333,1,0,0,1,CML333
267,CML333/B73 NIL-1048,CML333,1,0,0,1,CML333
268,CML333/B73 NIL-1052,CML333,2,0,1,1,CML333
269,CML333/B73 NIL-1055,CML333,1,0,0,1,CML333
270,CML333/B73 NIL-1061,CML333,2,0,0,1,CML333
271,CML333/B73 NIL-1075,CML333,1,0,0,1,CML333
272,CML333/B73 NIL-1077,CML333,2,0,0,1,CML333
273,CML333/B73 NIL-1081,CML333,4,4,0,1,CML322
274,CML333/B73 NIL-1087,CML333,1,0,0,1,CML333
275,CML333/B73 NIL-1089,CML333,2,0,1,1,CML333
276,CML333/B73 NIL-1092,CML333,5,3,2,1,B73
277,CML333/B73 NIL-1104,CML333,3,1,1,2,CML333/B73
278,CML333/B73 NIL-1107,CML333,3,0,0,1,CML333
279,CML333/B73 NIL-1108,CML333,1,0,0,1,CML333
280,CML333/B73 NIL-1109A,CML333,2,0,0,1,CML333
281,CML333/B73 NIL-1109B,CML333,2,0,0,1,CML333
282,CML333/B73 NIL-1111,CML333,1,0,0,1,CML333
283,CML333/B73 NIL-1112A,CML333,3,2,1,2,B73/CML69
284,CML333/B73 NIL-1116,CML333,2,2,0,1,B73
285,CML333/B73 NIL-1119A,CML333,5,0,4,1,CML333
286,CML333/B73 NIL-1119B,CML333,5,0,4,1,CML333
287,CML333/B73 NIL-1122,CML333,2,0,0,1,CML333
288,CML333/B73 NIL-1124,CML333,4,0,0,1,CML333
289,CML333/B73 NIL-1127,CML333,3,0,0,1,CML333
290,CML333/B73 NIL-1131,CML333,3,0,0,1,CML333
291,CML333/B73 NIL-1136,CML333,2,0,0,1,CML333
292,CML333/B73 NIL-1143,CML333,2,0,0,1,CML333
293,CML333/B73 NIL-1145,CML333,1,0,0,1,CML333
294,CML333/B73 NIL-1156,CML333,1,0,0,1,CML333
295,CML333/B73 NIL-1170,CML333,2,0,0,1,CML333
296,CML333/B73 NIL-1174,CML333,1,0,0,1,CML333
297,CML333/B73 NIL-1182,CML333,1,0,0,1,CML333
298,CML333/B73 NIL-1183,CML333,2,0,0,1,CML333
299,CML333/B73 NIL-1185,CML333,1,0,0,1,CML333
300,CML333/B73 NIL-1188A,CML333,2,0,0,1,CML333
301,CML333/B73 NIL-1193,CML333,1,0,0,1,CML333
302,CML333/B73 NIL-1199,CML333,3,0,0,1,CML333
303,CML333/B73 NIL-1201,CML333,4,1,1,2,CML333/B73
304,CML333/B73 NIL-1202B,CML333,1,0,0,1,CML333
305,CML333/B73 NIL-1209,CML333,4,0,2,1,CML333
306,CML333/B73 NIL-1217A,CML333,3,0,0,1,CML333
307,CML333/B73 NIL-1217B,CML333,2,0,1,1,CML333
308,CML333/B73 NIL-1220,CML333,3,2,0,2,CML333/B73
309,CML333/B73 NIL-1228,CML333,2,0,0,1,CML333
310,CML333/B73 NIL-1230,CML333,3,0,1,1,CML333
311,CML333/B73 NIL-1232,CML333,2,0,1,1,CML333
312,CML333/B73 NIL-1234,CML333,1,0,1,0,NA
313,CML333/B73 NIL-1243,CML333,2,0,0,1,CML333
314,CML333/B73 NIL-1253,CML333,3,0,0,1,CML333
315,CML333/B73 NIL-1260,CML333,1,0,0,1,CML333
316,CML333/B73 NIL-1269,CML333,1,0,0,1,CML333
317,CML333/B73 NIL-1270,CML333,1,0,0,1,CML333
318,CML333/B73 NIL-1275,CML333,2,0,0,1,CML333
319,CML333/B73 NIL-1276,CML333,1,0,0,1,CML333
320,CML333/B73 NIL-1279,CML333,1,0,0,1,CML333
321,CML333/B73 NIL-1281,CML333,2,0,0,1,CML333
322,CML333/B73 NIL-1290,CML333,2,1,0,2,B73/CML333
323,CML333/B73 NIL-1293,CML333,4,0,0,1,CML333
324,CML333/B73 NIL-1296,CML333,3,0,0,1,CML333
325,CML333/B73 NIL-1307,CML333,1,0,0,1,CML333
326,CML333/B73 NIL-1312,CML333,3,0,0,1,CML333
327,CML333/B73 NIL-1319,CML333,2,2,0,1,NC358
328,CML52/B73 NIL-1003,CML52,3,0,0,1,CML52
